Tipo;X;Y;Z
A;0.000;-0.005;0.968
A;0.000;-0.005;0.969
A;-0.000;-0.005;0.969
A;-0.000;-0.005;0.968
A;-0.000;-0.006;0.969
A;-0.001;-0.006;0.969
A;-0.001;-0.005;0.969
A;-0.001;-0.005;0.968
A;0.000;-0.005;0.969
A;-0.000;-0.006;0.968
A;0.000;-0.005;0.968
A;0.000;-0.005;0.968
A;-0.000;-0.005;0.968
A;0.000;-0.005;0.969
A;0.000;-0.005;0.968
A;-0.000;-0.005;0.968
A;-0.001;-0.004;0.968
A;0.000;-0.006;0.968
A;-0.000;-0.005;0.968
A;0.000;-0.006;0.968
A;-0.000;-0.005;0.968
A;0.000;-0.005;0.968
A;0.000;-0.006;0.968
A;-0.000;-0.005;0.968
A;0.000;-0.006;0.969
A;-0.001;-0.005;0.969
A;-0.001;-0.005;0.968
A;0.000;-0.005;0.968
A;0.000;-0.005;0.969
A;0.001;-0.005;0.968
A;-0.001;-0.005;0.968
A;0.000;-0.005;0.968
A;-0.000;-0.005;0.968
A;-0.000;-0.004;0.969
A;-0.000;-0.005;0.967
A;0.000;-0.005;0.969
A;-0.000;-0.005;0.968
A;-0.001;-0.005;0.968
A;-0.001;-0.005;0.968
A;-0.001;-0.005;0.969
A;-0.000;-0.005;0.968
A;0.000;-0.005;0.968
A;0.000;-0.005;0.967
A;0.000;-0.006;0.969
A;-0.002;-0.005;0.968
A;0.000;-0.005;0.968
A;0.000;-0.005;0.969
A;0.000;-0.006;0.969
A;-0.000;-0.006;0.968
A;-0.001;-0.005;0.968
A;-0.003;-0.004;0.968
A;-0.001;-0.006;0.968
A;-0.001;-0.005;0.968
A;-0.000;-0.005;0.968
A;-0.002;-0.005;0.968
A;0.000;-0.005;0.968
A;0.000;-0.005;0.968
A;0.000;-0.006;0.969
A;-0.000;-0.005;0.968
A;-0.001;-0.005;0.968
A;-0.001;-0.004;0.968
A;0.000;-0.005;0.968
A;-0.001;-0.005;0.969
A;0.000;-0.005;0.969
A;-0.001;-0.006;0.969
A;-0.000;-0.006;0.968
A;-0.000;-0.005;0.968
A;0.000;-0.005;0.967
A;-0.001;-0.006;0.968
A;-0.001;-0.006;0.968
A;0.000;-0.005;0.968
A;-0.000;-0.005;0.968
A;-0.000;-0.005;0.970
A;0.000;-0.006;0.969
A;-0.001;-0.005;0.967
A;0.000;-0.005;0.968
A;-0.002;-0.005;0.969
A;0.000;-0.005;0.967
A;-0.002;-0.006;0.967
A;-0.002;-0.006;0.968
A;-0.001;-0.005;0.969
A;-0.001;-0.005;0.969
A;0.000;-0.006;0.969
A;0.001;-0.005;0.967
