Tipo;X;Y;Z
A;0.0096;0.0022;0.9618
G;1.1597;0.5493;2.3804
M;27.8564;-34.2041;10.4004
A;0.0093;0.0024;0.9614
G;0.9155;0.1831;2.3193
M;27.7832;-33.7891;10.2295
A;0.0082;0.0027;0.9618
G;0.9766;0.1831;2.1973
M;27.5269;-33.9722;9.2651
A;0.0094;0.0022;0.9640
G;1.1597;0.3052;2.2583
M;27.9541;-34.3872;10.0464
A;0.0100;0.0031;0.9625
G;1.0986;0.0610;2.3193
M;27.6733;-34.0088;10.4004
A;0.0104;0.0028;0.9625
G;1.0376;0.1221;2.0752
M;27.6367;-34.0332;9.6558
A;0.0095;0.0021;0.9633
G;1.0376;0.2441;2.2583
M;27.6001;-33.7036;9.6558
A;0.0103;0.0027;0.9629
G;0.8545;0.2441;2.1973
M;28.0518;-34.1309;10.1196
A;0.0098;0.0023;0.9634
G;0.9766;0.2441;2.3804
M;27.9053;-33.9722;10.7422
A;0.0105;0.0024;0.9631
G;0.9766;0.3662;2.2583
M;27.4292;-34.0454;10.1318
A;0.0116;0.0024;0.9625
G;1.0986;0.1831;2.3193
M;27.9419;-34.1187;10.3394
A;0.0111;0.0026;0.9640
G;1.2817;0.3052;2.2583
M;27.8442;-34.2773;10.8521
A;0.0104;0.0023;0.9650
G;1.0376;0.1831;2.3804
M;27.9419;-33.9233;9.5215
A;0.0116;0.0028;0.9647
G;0.9766;0.2441;2.3804
M;28.0029;-33.8379;10.5957
A;0.0116;0.0027;0.9648
G;0.9766;0.2441;2.2583
M;28.1128;-33.8379;9.6191
A;0.0109;0.0022;0.9644
G;1.0986;0.1831;2.3804
M;27.3315;-33.9844;10.0830
A;0.0095;0.0020;0.9647
G;1.0986;0.2441;2.2583
M;28.4180;-33.9966;10.1074
A;0.0095;0.0028;0.9646
G;1.3428;0.1221;2.3804
M;27.6611;-33.9355;10.3394
A;0.0088;0.0028;0.9653
G;1.0376;0.0610;2.4414
M;27.2949;-34.1553;11.3403
A;0.0088;0.0024;0.9656
G;1.0986;0.1221;2.2583
M;27.9297;-33.8379;10.4370
A;0.0088;0.0027;0.9656
G;1.1597;0.0610;2.0752
M;27.9541;-33.6426;9.5459
A;0.0090;0.0023;0.9653
G;1.1597;0.1831;2.2583
M;27.8076;-34.4116;10.4858
A;0.0087;0.0018;0.9663
G;1.1597;0.1831;2.3193
M;27.4658;-33.9722;11.9507
A;0.0096;0.0023;0.9650
G;1.1597;0.4272;2.3193
M;27.3560;-33.6914;10.3394
A;0.0109;0.0024;0.9657
G;1.0376;0.1831;2.2583
M;27.9785;-33.6426;10.5957
A;0.0100;0.0027;0.9657
G;1.0986;0.2441;2.4414
M;27.8198;-34.4971;10.5103
A;0.0111;0.0023;0.9656
G;1.2207;0.2441;2.3193
M;27.1362;-33.6304;10.9375
A;0.0114;0.0021;0.9659
G;0.9766;0.3662;2.3804
M;27.4292;-33.8867;9.6436
A;0.0103;0.0038;0.9666
G;1.0376;0.1831;2.2583
M;27.6123;-33.6792;10.6934
A;0.0107;0.0035;0.9667
G;0.9155;0.2441;2.3193
M;27.2339;-34.0332;10.0830
A;0.0107;0.0023;0.9658
G;1.1597;0.2441;2.1362
M;27.6123;-33.2153;10.8887
A;0.0109;0.0022;0.9650
G;1.0376;0.3662;2.2583
M;27.7832;-33.4106;10.8398
A;0.0099;0.0031;0.9658
G;1.1597;0.1221;2.2583
M;27.6001;-33.8013;9.5093
A;0.0105;0.0031;0.9662
G;1.2207;0.2441;2.1973
M;27.4292;-34.0454;10.5347
A;0.0096;0.0021;0.9652
G;0.9766;0.0610;2.2583
M;27.1118;-33.8135;10.2661
A;0.0099;0.0028;0.9659
G;0.9155;0.2441;2.3804
M;27.6001;-34.1064;10.3516
A;0.0103;0.0026;0.9658
G;1.0376;0.1221;2.2583
M;28.0029;-33.6548;10.3394
A;0.0101;0.0028;0.9659
G;0.8545;0.3052;2.3193
M;27.9297;-34.2896;9.9121
A;0.0096;0.0022;0.9669
G;1.0376;0.1831;2.2583
M;27.4292;-33.5083;10.0464
A;0.0100;0.0026;0.9672
G;1.0986;0.0610;2.3193
M;27.3071;-33.2520;10.8521
A;0.0095;0.0034;0.9672
G;1.3428;0.1831;2.4414
M;27.4902;-33.9722;10.8521
A;0.0100;0.0022;0.9668
G;1.0986;0.3052;2.2583
M;26.8555;-33.8745;9.7290
A;0.0095;0.0018;0.9667
G;1.0986;0.1831;2.1973
M;26.7700;-33.9722;9.8389
A;0.0101;0.0034;0.9662
G;1.0986;0.1831;2.2583
M;27.4658;-33.9844;10.2539
A;0.0099;0.0027;0.9664
G;1.1597;0.1831;2.1973
M;27.3193;-33.6548;9.9854
A;0.0110;0.0021;0.9675
G;0.9766;0.3052;2.4414
M;26.9409;-33.8745;10.0464
A;0.0110;0.0034;0.9667
G;1.0986;0.3052;2.2583
M;27.2949;-34.1187;12.1338
A;0.0111;0.0031;0.9670
G;1.2817;0.1831;2.3193
